,louvain,pseudotime
752,1,0.5882365
753,1,0.5722361
754,1,0.59875274
755,1,0.5583968
756,1,0.5644772
757,0,0.53764385
758,2,0.64352375
759,1,0.5865049
760,1,0.57939154
761,1,0.5691471
762,1,0.5819055
763,0,0.548136
764,1,0.57619834
765,0,0.5028512
766,1,0.5777759
767,1,0.58019716
768,1,0.5867743
769,1,0.5760913
770,0,0.53063285
771,0,0.5419032
772,0,0.5250168
773,1,0.5998768
774,1,0.5742355
775,2,0.6096327
776,1,0.56406206
777,1,0.55941975
778,1,0.58165604
779,1,0.5586241
780,0,0.5149845
781,1,0.5694336
782,0,0.5500066
783,1,0.5664864
784,1,0.5683911
785,1,0.57805485
786,1,0.5601985
787,1,0.55539465
788,3,0.43248147
789,1,0.5746286
790,1,0.5637024
791,1,0.5728091
792,0,0.54323894
793,1,0.581478
794,1,0.58302855
795,1,0.5833316
796,0,0.5242589
797,3,0.4687884
798,1,0.58544666
799,1,0.57942283
800,1,0.568165
801,0,0.5402948
802,0,0.5339808
803,1,0.5636758
804,1,0.56792814
805,1,0.5582047
806,2,0.62500733
807,1,0.57230943
808,1,0.55456346
809,1,0.5736959
810,0,0.5204895
811,1,0.5883278
812,1,0.5674366
813,0,0.54291224
814,0,0.5334438
815,2,0.6371017
816,1,0.5608947
817,0,0.5242121
818,0,0.5495387
819,1,0.58305967
820,1,0.5680914
821,1,0.58041996
822,0,0.54056704
823,1,0.59554654
824,2,0.97108185
825,1,0.58217615
826,1,0.59913653
827,1,0.56996095
828,1,0.56444293
829,1,0.55909085
830,1,0.5670565
831,1,0.5608375
832,0,0.5414072
833,0,0.53895634
834,1,0.5728421
835,3,0.13570912
836,0,0.5273052
837,0,0.53204554
838,1,0.569131
839,1,0.57742244
840,1,0.57907856
841,1,0.5776939
842,0,0.51789993
843,1,0.5835342
844,1,0.5517247
845,2,0.627282
846,2,0.6258144
847,2,0.6264821
848,2,0.62480146
849,2,0.6530448
850,1,0.5786447
851,2,0.6206945
852,2,0.62684804
853,2,0.6246891
854,2,0.618063
855,2,0.6348649
856,0,0.5488491
857,0,0.54940706
858,2,0.6152211
859,2,0.63148475
860,1,0.58361655
861,2,0.6209299
862,1,0.576881
863,2,0.6238346
864,0,0.5056004
865,2,0.63931745
866,2,0.6331272
867,2,0.6171749
868,2,0.62725645
869,0,0.526793
870,1,0.5775285
871,2,0.62912595
872,1,0.59364897
873,2,0.64723676
874,2,0.6220638
875,1,0.5823321
876,1,0.5853326
877,1,0.56941307
878,0,0.5440672
879,2,0.9369144
880,1,0.5666296
881,2,0.6514742
882,1,0.5624761
883,2,0.6137516
884,2,0.624053
885,1,0.59370726
886,2,0.6426212
887,2,0.6071806
888,2,0.6275569
889,1,0.5813442
890,2,0.92010194
891,2,0.62906647
892,2,0.6215366
893,1,0.5533732
894,1,0.59892523
895,2,0.6337426
896,2,0.91444016
897,1,0.5879676
898,2,0.6210552
899,2,0.6228075
900,1,0.588161
901,1,0.5603093
902,2,0.6361185
903,1,0.60624796
904,2,0.6182322
905,2,0.6209742
906,2,0.6219919
907,2,0.6319297
908,2,0.60369426
909,1,0.5828785
910,2,0.6364763
911,2,0.6559241
912,2,0.6223197
913,2,0.6277535
914,2,0.6218482
915,1,0.59682274
916,2,0.62630606
917,3,0.37290388
918,2,0.62727463
919,1,0.59564203
920,1,0.5834859
921,2,0.6214057
922,2,0.85050744
923,2,0.6394918
924,2,0.62502974
925,1,0.561449
926,2,0.6177207
927,1,0.5867176
928,1,0.5969108
929,2,0.6228918
930,1,0.5844071
931,2,0.6260063
932,0,0.5436928
933,2,0.6149119
934,3,0.34212872
935,2,0.6274622
936,2,0.619644
937,2,0.6170468
938,2,0.6412862
939,2,0.6160802
940,2,0.6238215
941,1,0.5904365
942,2,0.9907288
943,2,0.62466365
944,2,0.63018805
945,2,0.63238204
946,0,0.514629
947,2,0.9505545
948,2,0.9349177
949,2,0.6392083
950,0,0.53565925
951,2,0.64661306
952,2,0.63614756
953,2,0.62851876
954,2,0.6051563
955,2,0.88628536
956,1,0.5795105
957,2,0.6248922
958,2,0.6163712
959,2,0.9978325
960,2,0.5944972
961,1,0.5975037
962,2,0.63170815
963,2,0.6266176
964,2,0.6183259
965,2,0.6238682
966,2,0.6164143
967,2,0.62851226
968,2,0.6226209
969,1,0.5779505
970,2,0.6049532
971,1,0.5660922
972,2,0.5994017
973,2,0.62687874
974,0,0.53879595
975,2,0.62393284
976,2,0.6235025
977,2,0.93973106
978,1,0.5882056
979,0,0.53197783
980,1,0.57962376
981,0,0.5243087
982,2,0.9354768
983,2,0.62289816
984,2,0.7534999
985,0,0.5182545
986,2,0.65038264
987,2,0.64474314
988,2,0.6263052
